ts,ws_temp_f,ws_rh_pct,ws_solar_w_m2,ws_wind_mph,temp_avg,rh_avg,vpd_avg,temp_north,temp_east,temp_west,temp_south,heat1,heat2,fan1,fan2,vent
2025-10-06 11:06:00+00,44.132,,0,1.49874731567645,57.8299980163574,67.5500030517578,0.530658006668091,,57.9200019836426,58.0999984741211,,t,f,f,f,f
2025-10-06 11:08:00+00,44.132,,0,1.49874731567645,57.8749961853027,67.4000015258789,0.533573508262634,,,58.0999984741211,,t,f,f,f,f
2025-10-06 11:10:00+00,43.934,,0,1.09609878310666,57.9199981689453,67.4750061035156,0.533620476722717,,58.0999984741211,,,t,f,f,f,f
2025-10-06 11:12:00+00,43.934,,0,1.09609878310666,57.8749961853027,67.5250015258789,0.531940817832947,,57.9200019836426,58.0999984741211,,t,f,f,f,f
2025-10-06 11:14:00+00,43.88,,0,1.23031496062992,57.7849998474121,67.4250030517578,0.53185373544693,,57.9200019836426,57.9200019836426,57.5599975585938,t,f,f,f,f
2025-10-06 11:16:00+00,43.88,,0,1.23031496062992,57.8299980163574,67.4750061035156,0.531880497932434,,,57.9200019836426,57.7399978637695,t,f,f,f,f
2025-10-06 11:18:00+00,43.88,,0,1.23031496062992,57.8749961853027,67.4750061035156,0.532758474349976,,,58.0999984741211,,t,f,f,f,f
2025-10-06 11:20:00+00,43.826,,0,1.45400858983536,57.8749961853027,67.5,0.532345652580261,,57.9200019836426,,57.7399978637695,t,f,f,f,f
2025-10-06 11:22:00+00,43.826,,0,1.45400858983536,57.8749961853027,67.4500045776367,0.53316330909729,,,58.0999984741211,,t,f,f,f,f
2025-10-06 11:24:00+00,43.898,,0,0.961882605583393,57.8749961853027,67.4250030517578,0.533573508262634,,,58.0999984741211,57.7399978637695,t,f,f,f,f
2025-10-06 11:26:00+00,43.898,,0,0.961882605583393,57.875,67.4000015258789,0.533972978591919,,58.0999984741211,57.9200019836426,,t,f,f,f,f
2025-10-06 11:28:00+00,43.898,,0,0.961882605583393,57.8299980163574,67.4250030517578,0.533578753471375,,57.9200019836426,57.9200019836426,57.7399978637695,t,f,f,f,f
2025-10-06 11:30:00+00,43.934,,0,2.81853972798855,57.8299980163574,67.4500045776367,0.53147566318512,,,57.9200019836426,,t,f,f,f,f
2025-10-06 11:32:00+00,43.934,,0,2.81853972798855,57.8299980163574,67.4250030517578,0.532700777053833,,,57.9200019836426,57.7399978637695,t,f,f,f,f
2025-10-06 11:34:00+00,43.772,,0,0.738188976377953,57.7849998474121,67.4500045776367,0.531851053237915,,,,57.5599975585938,t,f,f,f,f
2025-10-06 11:36:00+00,43.772,,0,0.738188976377953,57.8299980163574,67.4500045776367,0.532290637493134,,,,57.7399978637695,t,f,f,f,f
2025-10-06 11:38:00+00,43.772,,0,0.738188976377953,57.7849998474121,67.4500045776367,0.53144359588623,,,,57.5599975585938,t,f,f,f,f
2025-10-06 11:40:00+00,43.718,,0,0.693450250536865,57.7849998474121,67.4000015258789,0.531851053237915,,,,57.5599975585938,t,f,f,f,f
2025-10-06 11:42:00+00,43.718,,0,0.693450250536865,57.8299980163574,67.4000015258789,0.531883120536804,,,,57.7399978637695,t,f,f,f,f
2025-10-06 11:44:00+00,43.718,,0,1.56585540443808,57.8299980163574,67.4250030517578,0.532287955284119,,,,57.7399978637695,t,f,f,f,f
2025-10-06 11:46:00+00,43.718,,0,1.56585540443808,57.8299980163574,67.4000015258789,0.533105611801147,,,,57.7399978637695,t,f,f,f,f
2025-10-06 11:48:00+00,43.718,,0,1.56585540443808,57.8299980163574,67.4000015258789,0.532666087150574,57.7399978637695,,,57.7399978637695,t,f,f,f,f
2025-10-06 11:50:00+00,43.718,,0,2.97512526843236,57.7849998474121,67.4250030517578,0.532698154449463,,,,57.5599975585938,t,f,f,f,f
2025-10-06 11:52:00+00,43.718,,0,2.97512526843236,57.7849998474121,67.4000015258789,0.532255947589874,57.7399978637695,,,,t,f,f,f,f
2025-10-06 11:54:00+00,43.808,,0,1.61059413027917,57.7849998474121,67.4000015258789,0.533518433570862,,,,57.5599975585938,t,f,f,f,f
2025-10-06 11:56:00+00,43.808,,0,1.61059413027917,57.8299980163574,67.4500045776367,0.531845808029175,,,,57.7399978637695,t,f,f,f,f
2025-10-06 11:58:00+00,43.808,,0,1.61059413027917,57.7849998474121,67.4000015258789,0.532255947589874,,,,57.5599975585938,t,f,f,f,f
2025-10-06 12:00:00+00,43.826,,0,1.85665712240515,57.7849998474121,67.4000015258789,0.532250642776489,,,,57.7399978637695,t,f,f,f,f
2025-10-06 12:02:00+00,43.826,,0,1.85665712240515,57.8299980163574,67.3499984741211,0.533920645713806,,,,,t,f,f,f,f
2025-10-06 12:04:00+00,43.97,,0,2.30404438081603,57.7849998474121,67.375,0.532666027545929,,,,57.5599975585938,t,f,f,f,f
2025-10-06 12:10:00+00,44.006,,0,0.603972798854689,57.8299980163574,67.4250030517578,0.532700777053833,,,,57.7399978637695,t,f,f,f,f
2025-10-06 12:14:00+00,43.916,,0,0.648711524695777,57.7849998474121,67.4000015258789,0.533128678798676,,,57.9200019836426,57.5599975585938,t,f,f,f,f
2025-10-06 12:16:00+00,43.916,,0,0.648711524695777,57.8299980163574,67.375,0.533513128757477,,,,57.7399978637695,t,f,f,f,f
2025-10-06 12:18:00+00,43.916,,0,0.648711524695777,57.8299980163574,67.4000015258789,0.533105611801147,,,,57.7399978637695,t,f,f,f,f
2025-10-06 12:20:00+00,43.844,,0,0.939513242662849,57.8299980163574,67.4000015258789,0.533923268318176,,,,57.7399978637695,t,f,f,f,f
2025-10-06 12:22:00+00,43.844,,0,0.939513242662849,57.7849998474121,67.375,0.533885955810547,,,,57.5599975585938,t,f,f,f,f
2025-10-06 12:24:00+00,43.718,,0,0.671080887616321,57.8299980163574,67.3249969482422,0.532660782337189,,,,57.7399978637695,t,f,f,f,f
2025-10-06 12:26:00+00,43.718,,0,0.671080887616321,57.7849998474121,67.3499984741211,0.534330785274506,,,,57.5599975585938,t,f,f,f,f
2025-10-06 12:28:00+00,43.718,,0,0.671080887616321,57.7849998474121,67.3249969482422,0.53220808506012,57.7399978637695,,,,t,f,f,f,f
2025-10-06 12:30:00+00,43.79,,0,0.626342161775233,57.7399978637695,67.2750015258789,0.533427953720093,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:32:00+00,43.79,,0,0.626342161775233,57.7849998474121,67.25,0.534296095371246,57.7399978637695,,,,t,f,f,f,f
2025-10-06 12:34:00+00,43.808,,0,1.3197924123121,57.7399978637695,67.3499984741211,0.53220808506012,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:38:00+00,43.808,,0,1.3197924123121,57.7399978637695,67.3499984741211,0.53221333026886,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:40:00+00,43.754,,0,0.827666428060129,57.7399978637695,67.2249984741211,0.533838093280792,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:42:00+00,43.754,,0,0.827666428060129,57.7849998474121,67.3000030517578,0.533481061458588,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:44:00+00,43.79,,0,1.27505368647101,57.7849998474121,67.3000030517578,0.533888578414917,57.7399978637695,,,,t,f,f,f,f
2025-10-06 12:46:00+00,43.79,,0,1.27505368647101,57.7399978637695,67.3249969482422,0.532623469829559,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:48:00+00,43.79,,0,1.27505368647101,57.7399978637695,67.25,0.533843398094177,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:50:00+00,43.772,,1,0.22369362920544,57.7399978637695,67.3250045776367,0.533028364181519,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:52:00+00,,,1,0,57.7399978637695,67.2250061035156,0.534253478050232,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:54:00+00,43.808,,1,0.715819613457409,57.7399978637695,67.25,0.533843338489532,57.5599975585938,,,,t,f,f,f,f
2025-10-06 12:58:00+00,,,1,0,57.6949996948242,67.2249984741211,0.533385753631592,57.5599975585938,57.7399978637695,,,t,f,f,f,f
